EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2021-01-05 12:00,2021-01-06 11:00,BUY,1946.88,1956.88,9.8,TP
2021-01-12 06:00,2021-01-12 09:00,BUY,1850.72,1860.72,9.8,TP
2021-01-19 18:00,2021-01-20 07:00,BUY,1841.33,1851.33,9.8,TP
2021-02-01 14:00,2021-02-02 09:00,SELL,1861.24,1851.24,9.8,TP
2021-02-08 05:00,2021-02-08 13:00,BUY,1810.76,1820.76,9.8,TP
2021-02-17 02:00,2021-02-17 15:00,SELL,1789.05,1779.05,9.8,TP
2021-02-22 05:00,2021-02-22 08:00,BUY,1783.79,1793.79,9.8,TP
2021-03-02 20:00,2021-03-03 10:00,SELL,1736.91,1726.91,9.8,TP
2021-03-05 23:00,2021-03-08 01:00,BUY,1700.76,1710.76,9.8,TP
2021-03-11 03:00,2021-03-11 05:00,SELL,1726.09,1734.09,-8.2,SL
2021-03-16 13:00,2021-03-16 16:00,SELL,1731.41,1739.41,-8.2,SL
2021-03-22 16:00,2021-03-23 15:00,BUY,1737.99,1729.99,-8.2,SL
2021-04-01 14:00,2021-04-01 16:00,BUY,1716.91,1726.91,9.8,TP
2021-04-15 03:00,2021-04-15 10:00,SELL,1738.66,1746.66,-8.2,SL
2021-04-20 06:00,2021-04-20 12:00,BUY,1773.29,1765.29,-8.2,SL
2021-04-23 09:00,2021-04-23 15:00,BUY,1784.96,1794.96,9.8,TP
2021-05-03 18:00,2021-05-04 08:00,BUY,1792.46,1784.46,-8.2,SL
2021-05-07 10:00,2021-05-07 15:00,SELL,1819.06,1827.06,-8.2,SL
2021-05-17 12:00,2021-05-17 17:00,SELL,1850.04,1858.04,-8.2,SL
2021-05-27 15:00,2021-05-28 15:00,SELL,1897.39,1887.39,9.8,TP
2021-06-01 22:00,2021-06-02 16:00,SELL,1899.97,1907.97,-8.2,SL
2021-06-07 09:00,2021-06-07 18:00,BUY,1884.39,1894.39,9.8,TP
2021-06-16 14:00,2021-06-16 21:00,SELL,1855.02,1845.02,9.8,TP
2021-06-21 18:00,2021-06-22 15:00,SELL,1783.36,1773.36,9.8,TP
2021-07-02 06:00,2021-07-02 15:00,BUY,1778.84,1788.84,9.8,TP
2021-07-21 15:00,2021-07-23 10:00,BUY,1798.98,1808.98,9.8,TP
2021-07-30 21:00,2021-08-04 15:00,SELL,1811.99,1819.99,-8.2,SL
2021-08-05 03:00,2021-08-05 16:00,SELL,1809.79,1799.79,9.8,TP
2021-08-11 04:00,2021-08-11 15:00,BUY,1730.95,1740.95,9.8,TP
2021-08-16 14:00,2021-08-16 16:00,BUY,1772.13,1782.13,9.8,TP
2021-08-25 07:00,2021-08-25 17:00,SELL,1794.22,1784.22,9.8,TP
2021-08-30 10:00,2021-08-31 16:00,SELL,1815.15,1805.15,9.8,TP
2021-09-07 16:00,2021-09-07 17:00,SELL,1809.79,1799.79,9.8,TP
2021-09-10 19:00,2021-09-14 15:00,SELL,1791.66,1781.66,9.8,TP
2021-09-20 21:00,2021-09-21 15:00,SELL,1761.72,1769.72,-8.2,SL
2021-09-28 10:00,2021-09-28 13:00,SELL,1743.86,1733.86,9.8,TP
2021-10-01 13:00,2021-10-01 17:00,SELL,1753.19,1761.19,-8.2,SL
2021-10-08 05:00,2021-10-08 15:00,SELL,1759.67,1767.67,-8.2,SL
2021-10-14 22:00,2021-10-15 10:00,SELL,1796.61,1786.61,9.8,TP
2021-10-20 02:00,2021-10-20 11:00,BUY,1768.72,1778.72,9.8,TP
2021-10-29 11:00,2021-10-29 15:00,SELL,1792.77,1782.77,9.8,TP
2021-11-03 13:00,2021-11-03 14:00,SELL,1784.64,1774.64,9.8,TP
2021-11-08 17:00,2021-11-09 15:00,SELL,1821.53,1829.53,-8.2,SL
2021-11-12 12:00,2021-11-12 15:00,SELL,1846.15,1854.15,-8.2,SL
2021-11-25 07:00,2021-11-26 08:00,SELL,1792.9,1800.9,-8.2,SL
2021-12-01 16:00,2021-12-01 22:00,SELL,1788.23,1778.23,9.8,TP
2021-12-07 07:00,2021-12-08 04:00,SELL,1781.03,1789.03,-8.2,SL
2021-12-14 15:00,2021-12-15 20:00,SELL,1772.29,1762.29,9.8,TP
2021-12-17 18:00,2021-12-17 22:00,BUY,1806.15,1798.15,-8.2,SL
2021-12-27 11:00,2021-12-28 08:00,SELL,1806.46,1814.46,-8.2,SL
