EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2024-01-08 06:00,2024-01-08 13:00,SELL,2035.74,2025.74,9.8,TP
2024-01-16 05:00,2024-01-16 11:00,SELL,2049.47,2039.47,9.8,TP
2024-01-19 17:00,2024-01-22 16:00,SELL,2027.62,2017.62,9.8,TP
2024-02-07 15:00,2024-02-07 16:00,SELL,2036.24,2044.24,-8.2,SL
2024-02-16 11:00,2024-02-16 19:00,SELL,2005.03,2013.03,-8.2,SL
2024-03-05 04:00,2024-03-05 10:00,SELL,2112.27,2120.27,-8.2,SL
2024-03-15 05:00,2024-03-15 11:00,SELL,2164.62,2172.62,-8.2,SL
2024-03-21 22:00,2024-03-22 08:00,SELL,2181.25,2171.25,9.8,TP
2024-03-27 02:00,2024-03-27 11:00,BUY,2177.34,2187.34,9.8,TP
2024-04-02 06:00,2024-04-02 07:00,SELL,2251.52,2259.52,-8.2,SL
2024-04-05 09:00,2024-04-05 10:00,SELL,2279.11,2287.11,-8.2,SL
2024-04-10 12:00,2024-04-10 15:00,BUY,2347.64,2339.64,-8.2,SL
2024-04-15 15:00,2024-04-15 16:00,BUY,2357.23,2349.23,-8.2,SL
2024-04-18 18:00,2024-04-19 03:00,BUY,2384.07,2376.07,-8.2,SL
2024-04-24 22:00,2024-04-25 06:00,SELL,2318.98,2308.98,9.8,TP
2024-05-03 02:00,2024-05-03 15:00,SELL,2304.14,2312.14,-8.2,SL
2024-05-08 05:00,2024-05-08 10:00,SELL,2317.12,2307.12,9.8,TP
2024-05-13 08:00,2024-05-13 11:00,BUY,2352.61,2344.61,-8.2,SL
2024-05-16 11:00,2024-05-16 15:00,BUY,2386.13,2378.13,-8.2,SL
2024-05-21 14:00,2024-05-21 16:00,SELL,2423.48,2431.48,-8.2,SL
2024-05-27 15:00,2024-05-27 16:00,SELL,2347.23,2355.23,-8.2,SL
2024-06-04 15:00,2024-06-04 16:00,BUY,2335.14,2327.14,-8.2,SL
2024-06-07 18:00,2024-06-07 22:00,BUY,2304.92,2296.92,-8.2,SL
2024-06-12 21:00,2024-06-13 04:00,BUY,2323.11,2315.11,-8.2,SL
2024-06-18 04:00,2024-06-18 11:00,BUY,2322.51,2314.51,-8.2,SL
2024-06-26 09:00,2024-06-26 14:00,SELL,2317.18,2307.18,9.8,TP
2024-07-01 12:00,2024-07-01 14:00,SELL,2327.47,2335.47,-8.2,SL
2024-07-05 07:00,2024-07-05 15:00,SELL,2363.99,2371.99,-8.2,SL
2024-07-11 12:00,2024-07-11 15:00,BUY,2384.04,2394.04,9.8,TP
2024-07-17 16:00,2024-07-17 17:00,SELL,2482.87,2472.87,9.8,TP
2024-07-23 17:00,2024-07-24 04:00,SELL,2402.87,2410.87,-8.2,SL
2024-07-29 14:00,2024-07-29 16:00,SELL,2387.65,2395.65,-8.2,SL
2024-08-01 17:00,2024-08-01 20:00,SELL,2448.6,2438.6,9.8,TP
2024-08-07 22:00,2024-08-08 06:00,SELL,2385.53,2393.53,-8.2,SL
2024-08-13 02:00,2024-08-13 04:00,BUY,2475.48,2467.48,-8.2,SL
2024-08-19 06:00,2024-08-19 13:00,SELL,2503.19,2493.19,9.8,TP
2024-08-27 03:00,2024-08-27 20:00,SELL,2513.06,2521.06,-8.2,SL
2024-09-06 19:00,2024-09-06 20:00,SELL,2488.91,2496.91,-8.2,SL
2024-09-11 22:00,2024-09-12 15:00,BUY,2512.9,2522.9,9.8,TP
2024-09-17 02:00,2024-09-17 07:00,BUY,2583.6,2575.6,-8.2,SL
2024-09-23 04:00,2024-09-23 06:00,SELL,2620.0,2628.0,-8.2,SL
2024-10-02 22:00,2024-10-03 10:00,BUY,2658.47,2650.47,-8.2,SL
2024-10-11 19:00,2024-10-14 01:00,SELL,2660.52,2650.52,9.8,TP
2024-10-17 18:00,2024-10-17 19:00,BUY,2693.37,2685.37,-8.2,SL
2024-10-28 02:00,2024-10-28 08:00,SELL,2732.45,2740.45,-8.2,SL
2024-11-05 11:00,2024-11-06 05:00,BUY,2739.91,2731.91,-8.2,SL
2024-11-08 22:00,2024-11-11 03:00,BUY,2685.02,2677.02,-8.2,SL
2024-11-14 02:00,2024-11-14 03:00,BUY,2572.48,2564.48,-8.2,SL
2024-11-19 05:00,2024-11-19 12:00,BUY,2624.5,2634.5,9.8,TP
2024-11-26 11:00,2024-11-26 15:00,BUY,2625.98,2635.98,9.8,TP
2024-11-29 16:00,2024-12-02 01:00,BUY,2653.47,2645.47,-8.2,SL
2024-12-05 09:00,2024-12-05 17:00,SELL,2648.72,2638.72,9.8,TP
2024-12-10 19:00,2024-12-11 03:00,SELL,2694.32,2702.32,-8.2,SL
2024-12-17 18:00,2024-12-17 19:00,SELL,2638.83,2646.83,-8.2,SL
2024-12-23 14:00,2024-12-26 03:00,SELL,2615.02,2623.02,-8.2,SL
