Param,Value
LBH,128
LBM,64
MNH,8
MXH,80
MNM,16
MXM,200
SH,2.0
SM,2.0
EF,12
ES,150
AP,14
TPM,4.0
SLM,2.0
ST,8
MP,2
SD,50
AL,100
ALO,0.8
AHI,2.5
Capital,100.0
Lot,0.01
Spread,0.2
TrainYears,2015-2022
TestYears,2023-2025
FinalEquity,222.17
TotalTrades,158
