EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2025-01-06 15:30,2025-01-06 16:00,SELL,2624.75,2629.75,-5.2,SL
2025-02-06 16:45,2025-02-06 17:15,SELL,2841.91,2846.91,-5.2,SL
2025-02-11 15:00,2025-02-11 15:15,SELL,2884.57,2889.57,-5.2,SL
2025-02-12 19:00,2025-02-12 19:15,BUY,2908.82,2903.82,-5.2,SL
2025-05-08 09:00,2025-05-08 09:30,SELL,3344.99,3334.99,9.8,TP
2025-05-19 01:15,2025-05-19 01:30,BUY,3235.79,3230.79,-5.2,SL
2025-05-27 08:15,2025-05-27 08:45,SELL,3326.92,3316.92,9.8,TP
2025-06-02 01:45,2025-06-02 03:30,BUY,3313.1,3308.1,-5.2,SL
2025-06-05 18:45,2025-06-05 19:00,SELL,3344.81,3349.81,-5.2,SL
2025-07-15 16:15,2025-07-15 16:45,SELL,3340.89,3345.89,-5.2,SL
2025-08-05 14:00,2025-08-05 15:15,SELL,3353.27,3358.27,-5.2,SL
2025-08-22 17:15,2025-08-22 17:45,BUY,3365.93,3375.93,9.8,TP
2025-10-21 11:15,2025-10-21 11:30,SELL,4267.09,4272.09,-5.2,SL
2025-12-03 15:30,2025-12-03 15:45,BUY,4223.36,4233.36,9.8,TP
2025-12-16 16:15,2025-12-16 17:15,BUY,4325.13,4320.13,-5.2,SL
