EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2022-01-18 05:45,2022-01-18 11:30,SELL,1816.37,1811.37,4.7982,TP
2022-01-26 16:15,2022-01-26 21:00,SELL,1835.41,1825.42,9.7859,TP
2022-02-24 21:00,2022-02-24 21:15,SELL,1904.3,1894.3,9.8,TP
2022-03-22 10:45,2022-03-22 12:30,SELL,1924.72,1929.72,-5.2,SL
2022-05-19 12:00,2022-05-19 15:30,BUY,1827.08,1837.08,9.8,TP
2022-07-27 11:15,2022-07-27 13:45,BUY,1724.24,1720.52,-3.9216,SL
2022-09-19 05:15,2022-09-19 10:15,SELL,1668.49,1661.02,7.2744,TP
2022-10-13 15:45,2022-10-13 16:30,SELL,1654.73,1644.73,9.8,TP
2022-10-18 08:00,2022-10-18 08:45,BUY,1660.33,1656.51,-4.0159,SL
2022-10-25 16:45,2022-10-25 17:15,BUY,1659.26,1654.26,-5.2,SL
2022-11-01 08:45,2022-11-01 09:15,BUY,1647.22,1643.84,-3.5766,SL
2022-11-02 20:00,2022-11-02 20:30,BUY,1664.21,1659.21,-5.2,SL
2022-11-29 06:45,2022-11-29 15:45,BUY,1753.85,1750.6,-3.4476,SL
2022-12-28 10:30,2022-12-28 16:45,SELL,1804.73,1808.59,-4.0648,SL
