EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2023-01-30 09:45,2023-01-30 12:30,SELL,1924.56,1929.07,-4.713,SL
2023-03-15 12:45,2023-03-15 13:30,BUY,1908.66,1918.66,9.8,TP
2023-03-22 20:30,2023-03-22 21:00,BUY,1973.14,1968.14,-5.2,SL
2023-04-06 16:30,2023-04-06 17:30,SELL,2005.05,2010.05,-5.2,SL
2023-05-11 10:00,2023-05-11 13:45,SELL,2025.02,2029.14,-4.3243,SL
2023-06-23 16:00,2023-06-23 17:15,BUY,1931.57,1926.57,-5.1966,SL
2023-06-27 17:00,2023-06-28 15:30,SELL,1915.67,1905.67,9.8,TP
2023-07-03 15:30,2023-07-03 17:00,BUY,1919.73,1927.56,7.6328,TP
2023-07-06 15:30,2023-07-06 16:15,SELL,1906.15,1911.15,-5.2,SL
2023-07-10 15:45,2023-07-10 16:00,SELL,1913.99,1918.02,-4.2343,SL
2023-07-27 16:00,2023-07-27 16:30,SELL,1957.01,1947.01,9.8,TP
2023-08-21 15:30,2023-08-21 16:30,BUY,1896.6,1892.86,-3.9373,SL
2023-08-29 15:15,2023-08-29 16:00,SELL,1915.31,1917.86,-2.7483,SL
2023-09-08 04:00,2023-09-08 15:45,BUY,1923.9,1921.65,-2.4528,SL
2023-10-27 20:30,2023-10-27 21:15,BUY,1994.55,2004.55,9.8,TP
2023-12-13 21:00,2023-12-13 21:30,BUY,2003.28,2013.28,9.8,TP
