EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2016-01-14 14:45,2016-01-14 17:00,SELL,1085.45,1088.56,-3.3055,SL
2016-02-15 03:00,2016-02-15 06:30,SELL,1224.39,1214.6,9.5918,TP
2016-03-16 20:15,2016-03-16 20:30,BUY,1253.34,1248.34,-5.2,SL
2016-03-22 09:15,2016-03-22 09:45,BUY,1253.62,1259.71,5.8858,TP
2016-03-31 11:30,2016-03-31 15:45,BUY,1233.06,1239.34,6.0847,TP
2016-05-13 08:45,2016-05-13 15:15,BUY,1274.78,1271.81,-3.1725,SL
2016-06-03 15:30,2016-06-03 22:45,BUY,1233.29,1243.29,9.8,TP
2016-07-29 15:30,2016-07-29 18:00,BUY,1341.79,1349.26,7.2728,TP
2016-08-05 15:30,2016-08-05 16:45,SELL,1349.6,1340.03,9.3724,TP
2016-08-12 15:45,2016-08-12 16:00,BUY,1354.93,1350.04,-5.0863,SL
2016-09-26 06:15,2016-09-26 09:45,SELL,1333.03,1335.03,-2.2,SL
2016-10-13 05:15,2016-10-13 15:15,BUY,1258.81,1256.25,-2.7576,SL
2016-10-28 10:15,2016-10-28 15:30,SELL,1266.94,1262.94,3.8,TP
2016-11-07 01:30,2016-11-07 03:00,SELL,1288.59,1293.3,-4.9071,SL
