EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2024-01-23 06:00,2024-01-23 08:45,BUY,2027.65,2034.42,6.5744,TP
2024-02-29 15:45,2024-03-01 10:15,BUY,2047.52,2042.52,-5.2,SL
2024-03-21 17:30,2024-03-21 18:00,SELL,2171.71,2176.71,-5.2,SL
2024-05-28 15:30,2024-05-28 17:00,BUY,2355.19,2350.19,-5.2,SL
2024-06-04 11:45,2024-06-04 16:45,SELL,2333.32,2323.32,9.8,TP
2024-06-07 11:45,2024-06-07 13:00,SELL,2347.37,2337.37,9.8,TP
2024-08-15 16:00,2024-08-15 16:15,SELL,2437.73,2442.73,-5.2,SL
2024-08-27 05:00,2024-08-27 08:30,SELL,2506.65,2511.13,-4.6828,SL
2024-11-25 06:00,2024-11-25 07:45,SELL,2670.04,2660.04,9.8,TP
2024-12-12 16:15,2024-12-12 17:45,SELL,2685.35,2675.35,9.8,TP
