EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2021-01-12 15:45,2021-01-12 20:30,SELL,1844.37,1849.37,-5.2,SL
2021-02-19 16:45,2021-02-19 17:00,BUY,1786.93,1781.93,-5.2,SL
2021-03-17 20:15,2021-03-18 03:15,BUY,1742.63,1752.63,9.8,TP
2021-04-23 17:15,2021-04-23 18:15,SELL,1772.8,1777.8,-5.2,SL
2021-05-19 16:30,2021-05-19 17:15,BUY,1885.77,1880.77,-5.2,SL
2021-06-04 16:45,2021-06-07 05:00,BUY,1891.34,1886.34,-5.2,SL
2021-06-11 14:00,2021-06-11 17:30,SELL,1888.34,1879.97,8.1732,TP
2021-06-30 19:30,2021-07-01 04:00,BUY,1770.88,1765.88,-5.2,SL
2021-07-23 13:00,2021-07-23 14:30,SELL,1798.46,1789.97,8.2875,TP
2021-08-25 03:45,2021-08-25 16:30,SELL,1795.88,1790.13,5.5513,TP
2021-09-07 08:15,2021-09-07 11:00,SELL,1819.75,1815.26,4.2875,TP
2021-09-23 16:00,2021-09-23 18:00,SELL,1758.61,1748.61,9.8,TP
2021-09-30 16:45,2021-09-30 17:15,BUY,1742.03,1752.03,9.8,TP
2021-10-04 17:30,2021-10-05 05:30,BUY,1767.15,1762.15,-5.2,SL
2021-10-07 16:00,2021-10-07 16:45,SELL,1753.19,1757.78,-4.7862,SL
