EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2015-01-22 15:00,2015-01-22 16:00,BUY,1289.91,1299.11,8.9973,TP
2015-01-27 16:45,2015-01-28 15:45,BUY,1289.72,1285.78,-4.1394,SL
2015-01-30 19:00,2015-02-02 16:00,BUY,1275.34,1270.34,-5.2,SL
2015-02-03 03:00,2015-02-03 03:45,SELL,1272.91,1274.91,-2.2,SL
2015-02-03 15:30,2015-02-03 17:30,SELL,1267.01,1257.01,9.8,TP
2015-02-05 01:15,2015-02-05 09:15,BUY,1271.96,1268.63,-3.5304,SL
2015-02-13 12:30,2015-02-13 15:00,SELL,1225.54,1227.54,-2.2,SL
2015-02-19 03:30,2015-02-19 11:30,BUY,1215.14,1219.14,3.8,TP
2015-02-25 01:45,2015-02-25 03:00,BUY,1204.79,1208.79,3.8,TP
2015-03-13 05:00,2015-03-13 06:00,BUY,1160.67,1158.67,-2.2,SL
2015-03-18 20:00,2015-03-19 03:00,BUY,1167.36,1177.36,9.8,TP
2015-03-27 11:30,2015-03-27 12:45,SELL,1196.45,1198.99,-2.7446,SL
2015-04-01 07:00,2015-04-01 09:00,BUY,1188.13,1186.13,-2.2,SL
2015-04-01 15:45,2015-04-01 17:00,BUY,1193.38,1199.61,6.0334,TP
2015-04-07 12:00,2015-04-07 14:15,SELL,1209.34,1211.37,-2.2273,SL
2015-04-07 17:15,2015-04-07 20:00,BUY,1213.04,1210.36,-2.8806,SL
2015-04-13 11:30,2015-04-13 15:30,SELL,1200.32,1202.54,-2.4206,SL
2015-04-16 18:30,2015-04-16 21:00,SELL,1197.25,1200.26,-3.2094,SL
2015-04-20 14:00,2015-04-20 17:15,SELL,1199.14,1194.19,4.7466,TP
2015-04-21 15:00,2015-04-21 15:30,BUY,1201.14,1199.14,-2.2,SL
2015-04-22 16:15,2015-04-22 17:00,SELL,1196.65,1190.96,5.4924,TP
2015-04-24 10:00,2015-04-24 11:45,BUY,1194.83,1192.83,-2.2,SL
2015-04-30 02:15,2015-04-30 03:15,SELL,1203.85,1205.85,-2.2,SL
2015-05-06 15:15,2015-05-06 17:15,BUY,1195.65,1192.06,-3.7899,SL
2015-05-07 04:00,2015-05-07 09:30,SELL,1190.36,1186.36,3.8,TP
2015-05-08 15:15,2015-05-08 15:30,BUY,1191.69,1187.85,-4.0387,SL
2015-05-11 15:00,2015-05-11 15:45,BUY,1191.23,1188.83,-2.6011,SL
2015-05-11 18:15,2015-05-11 20:00,SELL,1180.28,1184.35,-4.2736,SL
2015-05-12 13:00,2015-05-12 16:00,BUY,1195.8,1192.04,-3.957,SL
2015-05-22 10:30,2015-05-22 15:30,BUY,1212.22,1210.22,-2.2,SL
2015-06-01 10:15,2015-06-01 15:30,SELL,1186.16,1188.24,-2.2827,SL
2015-06-03 11:00,2015-06-03 14:30,SELL,1189.66,1191.66,-2.2,SL
2015-06-11 12:45,2015-06-11 15:30,SELL,1180.29,1182.29,-2.2,SL
2015-06-15 01:15,2015-06-15 03:00,BUY,1184.67,1182.67,-2.2,SL
2015-06-15 10:00,2015-06-15 10:30,BUY,1184.49,1182.49,-2.2,SL
2015-06-17 21:45,2015-06-18 11:00,BUY,1187.03,1195.55,8.3203,TP
2015-06-29 01:00,2015-06-29 01:15,BUY,1185.7,1182.05,-3.8475,SL
2015-06-29 17:30,2015-06-29 18:00,SELL,1175.7,1178.76,-3.2632,SL
2015-06-30 05:30,2015-06-30 13:00,SELL,1177.26,1173.26,3.8,TP
2015-07-06 07:45,2015-07-06 10:45,SELL,1167.48,1163.48,3.8,TP
2015-07-06 19:45,2015-07-06 21:45,BUY,1171.95,1169.67,-2.4814,SL
2015-07-10 16:45,2015-07-10 18:45,SELL,1159.44,1161.76,-2.5186,SL
2015-07-23 15:45,2015-07-23 21:00,SELL,1095.83,1090.03,5.6002,TP
2015-07-28 13:30,2015-07-28 14:45,SELL,1092.43,1094.43,-2.2,SL
2015-07-31 16:30,2015-08-03 03:00,BUY,1097.42,1092.42,-5.2,SL
2015-08-03 15:45,2015-08-03 16:45,SELL,1089.79,1092.28,-2.6904,SL
2015-08-04 11:45,2015-08-04 20:30,BUY,1091.08,1088.84,-2.4368,SL
2015-08-05 17:00,2015-08-06 16:00,SELL,1084.18,1087.63,-3.6472,SL
2015-08-19 04:30,2015-08-19 09:45,BUY,1117.84,1121.84,3.8,TP
2015-08-25 04:15,2015-08-25 08:30,BUY,1155.7,1152.68,-3.2159,SL
2015-09-02 17:30,2015-09-02 19:30,SELL,1133.68,1137.06,-3.575,SL
2015-09-09 10:30,2015-09-09 15:30,SELL,1121.49,1117.49,3.8,TP
2015-09-28 10:00,2015-09-28 13:00,SELL,1138.81,1132.79,5.824,TP
2015-10-08 15:15,2015-10-08 17:00,SELL,1139.64,1142.11,-2.6744,SL
2015-10-13 06:15,2015-10-13 10:15,SELL,1155.45,1157.79,-2.5379,SL
2015-10-13 16:00,2015-10-14 04:00,BUY,1162.59,1169.28,6.4856,TP
2015-10-16 08:00,2015-10-16 13:30,SELL,1177.11,1179.11,-2.2,SL
2015-10-20 13:30,2015-10-20 15:45,BUY,1174.45,1172.45,-2.2,SL
2015-10-21 16:30,2015-10-21 16:45,SELL,1170.8,1165.58,5.0239,TP
2015-10-23 17:00,2015-10-26 12:30,SELL,1162.06,1167.06,-5.2,SL
2015-11-16 01:45,2015-11-16 07:45,BUY,1089.1,1093.79,4.4882,TP
2015-11-16 17:00,2015-11-17 07:30,SELL,1085.74,1080.6,4.9431,TP
2015-11-19 16:45,2015-11-20 19:00,BUY,1080.56,1076.4,-4.3561,SL
2015-11-26 07:15,2015-11-27 04:30,SELL,1072.74,1068.74,3.8,TP
2015-12-01 21:15,2015-12-02 15:00,BUY,1068.06,1066.06,-2.2,SL
2015-12-22 22:30,2015-12-23 03:00,SELL,1072.43,1074.43,-2.2,SL
2015-12-29 12:45,2015-12-29 15:15,SELL,1069.35,1071.98,-2.8347,SL
