EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2025-01-06 15:30,2025-01-06 16:00,SELL,2624.75,2629.75,-5.2,SL
2025-01-07 07:30,2025-01-07 08:45,BUY,2644.39,2640.67,-3.9168,SL
2025-01-13 14:15,2025-01-13 16:45,SELL,2668.99,2673.99,-5.2,SL
2025-01-14 21:30,2025-01-15 03:45,BUY,2675.32,2671.4,-4.1169,SL
2025-01-17 23:00,2025-01-20 01:00,SELL,2699.31,2703.32,-4.2123,SL
2025-01-20 07:30,2025-01-20 07:45,BUY,2706.9,2703.85,-3.2464,SL
2025-01-27 04:45,2025-01-27 05:15,SELL,2756.14,2761.14,-5.2,SL
2025-01-27 15:30,2025-01-27 15:45,SELL,2752.93,2757.93,-5.2,SL
2025-01-28 17:15,2025-01-28 21:45,BUY,2756.14,2764.98,8.6434,TP
2025-01-30 01:00,2025-01-30 09:45,BUY,2759.89,2769.01,8.9241,TP
2025-02-03 04:00,2025-02-03 07:15,SELL,2778.47,2783.47,-5.2,SL
2025-02-06 22:30,2025-02-07 03:15,BUY,2855.63,2863.53,7.7041,TP
2025-02-18 05:45,2025-02-18 15:30,BUY,2908.88,2918.88,9.8,TP
2025-02-24 03:00,2025-02-24 03:30,SELL,2924.19,2929.19,-5.2,SL
2025-02-25 07:30,2025-02-25 10:00,SELL,2938.69,2930.31,8.182,TP
2025-03-07 02:00,2025-03-07 02:15,SELL,2899.65,2904.65,-5.2,SL
2025-03-07 20:00,2025-03-07 22:30,SELL,2906.11,2911.11,-5.2,SL
2025-03-11 10:45,2025-03-11 15:30,BUY,2909.96,2919.29,9.1327,TP
2025-03-26 02:30,2025-03-26 03:30,SELL,3018.08,3020.4,-2.5174,SL
2025-03-26 08:30,2025-03-26 11:15,BUY,3024.97,3021.12,-4.0525,SL
2025-04-28 18:00,2025-04-28 18:30,BUY,3329.8,3324.8,-5.2,SL
2025-04-29 08:00,2025-04-29 08:30,SELL,3307.62,3312.62,-5.2,SL
2025-04-30 04:45,2025-04-30 08:15,SELL,3308.21,3313.21,-5.2,SL
2025-05-08 09:15,2025-05-08 09:30,SELL,3339.28,3329.28,9.8,TP
2025-05-09 19:00,2025-05-09 19:15,BUY,3346.77,3341.77,-5.2,SL
2025-05-09 22:15,2025-05-12 01:00,SELL,3329.78,3319.78,9.8,TP
2025-05-19 01:15,2025-05-19 01:30,BUY,3235.79,3230.79,-5.2,SL
