EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2022-01-05 23:00,2022-01-06 08:00,SELL,1810.35,1802.7,7.447,TP
2022-01-10 12:00,2022-01-10 14:15,BUY,1799.87,1797.17,-2.9013,SL
2022-01-10 20:00,2022-01-11 05:15,BUY,1800.43,1806.52,5.8933,TP
2022-01-13 18:00,2022-01-13 19:15,SELL,1815.82,1819.82,-4.1993,SL
2022-01-14 18:30,2022-01-17 10:15,SELL,1818.74,1822.66,-4.1216,SL
2022-01-17 09:45,2022-01-17 12:30,BUY,1821.99,1819.99,-2.2,SL
2022-01-18 03:45,2022-01-18 05:30,BUY,1822.12,1820.12,-2.2,SL
2022-01-19 12:30,2022-01-19 14:00,BUY,1819.02,1816.86,-2.3611,SL
2022-01-24 04:30,2022-01-24 11:00,BUY,1837.21,1841.92,4.5114,TP
2022-01-24 20:00,2022-01-25 12:30,BUY,1840.57,1836.66,-4.1112,SL
2022-02-02 12:00,2022-02-02 15:15,BUY,1802.48,1807.04,4.3638,TP
2022-02-03 14:15,2022-02-03 15:30,SELL,1801.09,1803.65,-2.7565,SL
2022-02-11 15:00,2022-02-11 15:15,BUY,1833.2,1830.33,-3.0706,SL
2022-02-16 14:30,2022-02-16 15:15,SELL,1852.07,1854.64,-2.7701,SL
2022-02-23 07:00,2022-02-23 09:00,SELL,1896.35,1898.35,-2.2,SL
2022-03-01 03:00,2022-03-01 07:45,SELL,1904.05,1906.79,-2.9419,SL
2022-03-02 19:00,2022-03-02 19:30,SELL,1915.97,1920.97,-5.2,SL
2022-03-02 22:00,2022-03-02 22:45,BUY,1931.52,1926.52,-5.2,SL
2022-03-09 15:00,2022-03-09 15:15,SELL,2008.03,1998.03,9.8,TP
2022-03-17 04:00,2022-03-17 10:30,BUY,1932.54,1940.51,7.7731,TP
2022-03-18 13:45,2022-03-18 14:45,BUY,1939.98,1935.12,-5.0567,SL
2022-03-22 10:45,2022-03-22 12:30,SELL,1924.72,1929.49,-4.9733,SL
2022-03-23 12:00,2022-03-23 13:15,BUY,1932.06,1928.39,-3.8712,SL
2022-03-31 10:45,2022-03-31 11:15,BUY,1931.49,1927.25,-4.4365,SL
2022-04-01 13:45,2022-04-01 15:15,SELL,1927.62,1931.71,-4.2901,SL
2022-04-05 15:45,2022-04-05 17:00,BUY,1935.13,1943.62,8.2946,TP
2022-04-06 13:00,2022-04-06 13:45,BUY,1929.52,1925.19,-4.5345,SL
2022-04-06 20:00,2022-04-06 21:00,SELL,1922.12,1926.41,-4.4898,SL
2022-04-22 09:15,2022-04-22 11:00,BUY,1953.54,1950.81,-2.9347,SL
2022-04-28 22:45,2022-04-29 04:00,BUY,1895.94,1902.93,6.7896,TP
2022-05-04 21:30,2022-05-04 21:45,BUY,1876.25,1886.25,9.8,TP
2022-05-12 08:00,2022-05-12 09:30,SELL,1851.13,1853.92,-2.9877,SL
2022-05-16 22:15,2022-05-17 14:30,BUY,1825.24,1833.48,8.0367,TP
2022-05-18 19:15,2022-05-18 20:30,BUY,1820.81,1815.81,-5.2,SL
2022-05-30 05:00,2022-05-30 13:30,BUY,1858.63,1855.33,-3.4986,SL
2022-05-31 11:15,2022-05-31 11:45,BUY,1856.65,1854.24,-2.6113,SL
2022-06-01 19:15,2022-06-02 15:15,BUY,1848.72,1857.98,9.0607,TP
2022-06-08 06:15,2022-06-08 08:45,SELL,1847.55,1849.57,-2.2247,SL
2022-06-20 06:00,2022-06-20 10:15,BUY,1844.77,1840.65,-4.3187,SL
2022-06-21 08:15,2022-06-21 08:45,SELL,1838.15,1834.15,3.8,TP
2022-06-23 11:30,2022-06-23 14:00,SELL,1833.05,1825.89,6.9558,TP
2022-06-27 01:30,2022-06-27 03:15,BUY,1833.35,1829.53,-4.019,SL
2022-06-27 17:00,2022-06-28 16:45,SELL,1827.5,1819.02,8.2824,TP
2022-06-29 15:15,2022-06-29 16:30,BUY,1827.01,1823.01,-4.1994,SL
2022-07-04 01:00,2022-07-04 04:00,BUY,1810.62,1807.61,-3.2066,SL
2022-07-04 19:00,2022-07-04 21:00,SELL,1805.59,1807.94,-2.5508,SL
2022-07-05 01:45,2022-07-05 03:00,BUY,1809.23,1807.23,-2.2,SL
2022-07-05 11:00,2022-07-05 14:45,SELL,1803.39,1797.53,5.6629,TP
2022-07-18 06:00,2022-07-18 09:30,BUY,1715.35,1712.76,-2.7893,SL
2022-07-19 12:30,2022-07-19 15:15,BUY,1714.05,1711.63,-2.6153,SL
2022-07-21 17:45,2022-07-22 12:15,BUY,1711.71,1721.71,9.8,TP
2022-07-26 04:00,2022-07-26 04:15,BUY,1722.87,1727.23,4.1601,TP
2022-07-27 11:15,2022-07-27 13:45,BUY,1724.24,1720.98,-3.4572,SL
2022-07-27 16:30,2022-07-27 18:15,SELL,1715.38,1719.49,-4.3137,SL
2022-08-02 22:30,2022-08-03 05:00,SELL,1762.35,1766.13,-3.9803,SL
2022-08-03 08:30,2022-08-03 10:00,BUY,1769.53,1766.74,-2.985,SL
2022-08-03 16:00,2022-08-03 16:45,BUY,1769.63,1765.26,-4.5678,SL
2022-08-08 14:00,2022-08-08 17:30,BUY,1782.33,1788.06,5.5329,TP
2022-08-11 14:15,2022-08-11 15:00,BUY,1791.67,1796.31,4.4429,TP
2022-08-11 21:00,2022-08-12 06:30,SELL,1788.06,1790.89,-3.0337,SL
2022-08-12 11:30,2022-08-12 14:00,SELL,1786.7,1789.47,-2.966,SL
2022-08-15 09:45,2022-08-15 10:45,SELL,1791.64,1787.64,3.8,TP
2022-08-23 17:30,2022-08-24 04:00,BUY,1750.17,1745.17,-5.2,SL
2022-08-26 11:30,2022-08-26 13:45,SELL,1752.34,1746.38,5.7551,TP
2022-09-06 15:45,2022-09-06 16:45,SELL,1707.75,1711.17,-3.6179,SL
