EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2024-01-10 15:45,2024-01-10 19:45,SELL,2030.27,2023.51,6.5605,TP
2024-01-11 06:45,2024-01-11 15:15,BUY,2032.02,2036.2,3.9826,TP
2024-01-16 10:45,2024-01-16 14:00,SELL,2043.2,2035.96,7.0375,TP
2024-01-22 08:00,2024-01-22 08:15,SELL,2020.77,2023.64,-3.0677,SL
2024-01-22 14:15,2024-01-22 15:15,BUY,2028.09,2024.66,-3.6284,SL
2024-01-23 06:00,2024-01-23 08:45,BUY,2027.65,2033.1,5.2535,TP
2024-01-24 09:00,2024-01-24 11:00,BUY,2027.42,2032.97,5.3461,TP
2024-01-24 17:45,2024-01-25 15:30,SELL,2015.14,2020.14,-5.2,SL
2024-02-01 16:15,2024-02-01 17:00,BUY,2047.93,2042.93,-5.2,SL
2024-02-02 16:00,2024-02-02 18:00,SELL,2031.59,2036.59,-5.2,SL
2024-02-08 13:15,2024-02-08 15:30,SELL,2030.0,2022.26,7.5411,TP
2024-02-15 15:30,2024-02-15 18:15,BUY,2003.26,1999.29,-4.1652,SL
2024-02-23 15:00,2024-02-23 15:15,BUY,2028.51,2025.43,-3.2785,SL
2024-02-29 13:30,2024-02-29 15:15,SELL,2029.9,2032.11,-2.4084,SL
2024-03-15 14:30,2024-03-15 16:00,SELL,2158.74,2163.55,-5.0066,SL
2024-03-20 10:00,2024-03-20 14:30,SELL,2155.04,2149.96,4.8805,TP
2024-03-26 10:15,2024-03-26 11:00,BUY,2177.1,2183.11,5.8129,TP
2024-04-05 04:15,2024-04-05 06:00,SELL,2270.6,2275.6,-5.2,SL
2024-04-05 11:00,2024-04-05 11:30,BUY,2290.81,2285.81,-5.2,SL
2024-04-11 06:00,2024-04-11 08:30,BUY,2345.55,2341.32,-4.4302,SL
2024-04-12 21:15,2024-04-12 21:45,SELL,2345.83,2335.83,9.8,TP
2024-04-18 09:45,2024-04-18 10:30,BUY,2380.62,2376.83,-3.9908,SL
