Param,Value
LBH,256
LBM,128
MNH,4
MXH,120
MNM,8
MXM,60
SH,2.5
SM,3.0
EF,12
ES,200
AP,7
TPM,3.0
SLM,1.5
ED,0.1
ST,2
MP,10
SD,50
AL,400
ALO,0.4
AHI,3.0
Capital,100.0
Lot,0.01
Spread,0.2
TrainYears,2015-2022
TestYears,2023-2025
FinalEquity,84.24
TotalTrades,893
