EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2018-01-04 03:15,2018-01-04 06:30,SELL,1306.02,1308.34,-2.5192,SL
2018-01-08 12:45,2018-01-08 15:00,BUY,1319.96,1317.96,-2.2,SL
2018-01-09 10:00,2018-01-09 15:30,SELL,1317.01,1313.01,3.8,TP
2018-01-10 12:30,2018-01-10 13:00,BUY,1320.2,1326.79,6.392,TP
2018-01-16 12:30,2018-01-16 13:30,SELL,1331.87,1334.39,-2.7245,SL
2018-01-17 14:30,2018-01-17 18:30,SELL,1335.24,1331.24,3.8,TP
2018-01-17 20:30,2018-01-17 21:15,BUY,1339.6,1337.18,-2.6225,SL
2018-01-19 07:00,2018-01-19 10:15,BUY,1331.63,1335.63,3.8,TP
2018-01-22 12:30,2018-01-22 14:30,BUY,1333.92,1331.92,-2.2,SL
2018-01-22 21:00,2018-01-22 22:15,SELL,1331.59,1333.59,-2.2,SL
2018-01-26 08:15,2018-01-26 13:45,BUY,1353.61,1351.61,-2.2,SL
2018-01-26 21:45,2018-01-29 14:00,SELL,1350.5,1344.79,5.513,TP
2018-01-30 16:00,2018-01-30 17:00,BUY,1348.13,1345.43,-2.899,SL
2018-01-31 08:45,2018-01-31 10:00,BUY,1344.01,1342.01,-2.2,SL
2018-02-01 09:15,2018-02-01 16:30,SELL,1339.71,1341.75,-2.2381,SL
2018-02-01 19:15,2018-02-01 19:45,BUY,1343.26,1341.02,-2.4415,SL
2018-02-05 23:45,2018-02-06 03:15,BUY,1339.56,1336.38,-3.379,SL
2018-02-06 15:30,2018-02-06 17:45,SELL,1334.38,1327.92,6.2628,TP
2018-02-12 03:30,2018-02-12 13:00,BUY,1323.7,1320.32,-3.5765,SL
2018-03-13 06:45,2018-03-13 08:15,SELL,1318.98,1320.98,-2.2,SL
2018-03-15 10:45,2018-03-15 14:30,SELL,1323.16,1319.16,3.8,TP
2018-03-20 08:15,2018-03-20 10:00,BUY,1316.29,1314.29,-2.2,SL
2018-04-06 04:45,2018-04-06 06:15,BUY,1332.59,1330.59,-2.2,SL
2018-04-06 17:30,2018-04-09 11:30,BUY,1332.95,1327.98,-5.1694,SL
2018-04-09 11:15,2018-04-09 15:00,SELL,1329.31,1331.31,-2.2,SL
2018-04-12 15:30,2018-04-12 18:15,SELL,1343.38,1336.24,6.9449,TP
2018-04-17 11:15,2018-04-17 18:00,SELL,1341.85,1344.24,-2.5858,SL
2018-04-18 05:45,2018-04-18 10:45,SELL,1344.11,1346.11,-2.2,SL
2018-05-07 14:45,2018-05-07 15:30,SELL,1310.95,1312.95,-2.2,SL
2018-05-08 07:00,2018-05-08 09:15,SELL,1311.4,1313.4,-2.2,SL
2018-05-08 21:00,2018-05-09 04:00,BUY,1315.97,1312.86,-3.3058,SL
